Order_ID,Customer_ID,Customer_Name,Order_Date,Region,State,City,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Discount_Pct,Sales_Amount,Cost_Amount,Profit_Amount,Profit_Margin_Pct,Payment_Method,Shipping_Mode,Delivery_Status,Customer_Segment
ORD-1047,C1066,Akash Verma,2024-01-01,West,Maharashtra,Pune,Electronics,Wireless Earbuds,3,26403.28,19.4,63843.13,43466.64,20376.49,31.92,EMI,Economy,Delivered,Corporate
ORD-1001,C1049,Rekha Singh,2024-01-02,North,Uttar Pradesh,Lucknow,Beauty & Personal Care,Face Wash,4,972.93,22.0,3035.54,1106.94,1928.6,63.53,Net Banking,Same Day,Cancelled,Corporate
ORD-1215,C1066,Akash Verma,2024-01-02,West,Gujarat,Surat,Fashion,Sports Shoes,1,4503.06,25.2,3368.29,1444.44,1923.85,57.12,UPI,Standard,Delivered,Corporate
ORD-1147,C1033,Suman Singh,2024-01-02,West,Goa,Vasco da Gama,Electronics,Gaming Mouse,4,54083.2,6.2,202920.17,122635.64,80284.53,39.56,EMI,Express,In Transit,Corporate
ORD-1307,C1048,Pankaj Chopra,2024-01-06,South,Tamil Nadu,Chennai,Books & Stationery,Planner,5,512.97,14.5,2192.95,1007.9,1185.05,54.04,Cash on Delivery,Express,Delivered,Small Business
ORD-1209,C1010,Ajay Jain,2024-01-09,South,Kerala,Kozhikode,Beauty & Personal Care,Nail Polish Kit,5,2779.33,32.9,9324.65,5488.61,3836.04,41.14,Cash on Delivery,Standard,Delivered,Consumer
ORD-1164,C1037,Sai Malhotra,2024-01-09,West,Maharashtra,Mumbai,Sports & Fitness,Badminton Racket,4,612.41,18.2,2003.81,1101.0,902.81,45.05,Cash on Delivery,Economy,Cancelled,Consumer
ORD-1168,C1041,Pankaj Shah,2024-01-09,South,Kerala,Thiruvananthapuram,Electronics,Smartphone,3,72025.48,11.3,191659.8,116257.07,75402.73,39.34,Credit Card,Express,Cancelled,Home Office
ORD-1244,C1013,Suman Mishra,2024-01-14,North,Haryana,Gurugram,Beauty & Personal Care,Moisturiser SPF,3,3322.0,28.8,7095.79,3335.6,3760.19,52.99,Credit Card,Express,Returned,Consumer
ORD-1148,C1061,Sneha Saxena,2024-01-17,North,Delhi,Dwarka,Home & Kitchen,Mixer Grinder,5,24854.27,23.7,94819.04,48849.27,45969.77,48.48,Debit Card,Economy,Delivered,Consumer
ORD-1139,C1038,Rekha Reddy,2024-01-20,North,Uttar Pradesh,Kanpur,Fashion,Formal Shirt,4,4003.41,10.6,14316.19,8407.19,5909.0,41.27,UPI,Same Day,In Transit,Corporate
ORD-1128,C1065,Pooja Rao,2024-01-21,North,Punjab,Ludhiana,Home & Kitchen,Bed Sheet Set,3,18923.14,9.0,51660.17,31616.38,20043.79,38.8,UPI,Standard,Delivered,Consumer
ORD-1298,C1020,Arjun Das,2024-01-21,West,Rajasthan,Udaipur,Home & Kitchen,Pressure Cooker,2,14682.85,10.1,26399.76,15119.77,11279.99,42.73,Credit Card,Same Day,In Transit,Corporate
ORD-1224,C1078,Kavita Sinha,2024-01-21,East,Jharkhand,Jamshedpur,Electronics,Smartphone,2,64761.67,6.1,121622.42,90115.03,31507.39,25.91,Credit Card,Same Day,Delivered,Consumer
ORD-1200,C1007,Arjun Patel,2024-01-24,East,Bihar,Muzaffarpur,Sports & Fitness,Dumbbell Pair,5,29864.31,24.7,112439.13,74316.4,38122.73,33.91,UPI,Economy,Delivered,Corporate
ORD-1037,C1036,Rajesh Nair,2024-01-24,East,West Bengal,Kolkata,Home & Kitchen,Non-Stick Cookware Set,3,4650.15,5.3,13211.08,8157.97,5053.11,38.25,UPI,Same Day,Returned,Consumer
ORD-1217,C1067,Vidya Sharma,2024-01-24,East,Bihar,Patna,Sports & Fitness,Protein Shaker,1,17671.02,27.5,12811.49,6819.33,5992.16,46.77,Net Banking,Standard,Delivered,Corporate
ORD-1102,C1016,Rasika Iyer,2024-01-25,East,Odisha,Bhubaneswar,Sports & Fitness,Skipping Rope,5,14929.27,24.4,56432.64,30630.24,25802.4,45.72,Credit Card,Economy,Returned,Small Business
ORD-1272,C1003,Tushar Rao,2024-01-25,North,Punjab,Chandigarh,Home & Kitchen,Bed Sheet Set,5,1404.96,24.9,5275.62,3406.12,1869.5,35.44,EMI,Standard,Delivered,Consumer
ORD-1098,C1033,Suman Singh,2024-01-27,East,Jharkhand,Dhanbad,Sports & Fitness,Cricket Bat,2,28627.82,25.0,42941.73,22540.62,20401.11,47.51,EMI,Economy,Cancelled,Corporate
ORD-1082,C1077,Ananya Verma,2024-01-29,West,Maharashtra,Pune,Books & Stationery,Coloring Book,4,837.71,9.6,3029.16,1345.26,1683.9,55.59,UPI,Express,Delivered,Small Business
ORD-1163,C1048,Pankaj Chopra,2024-01-31,North,Delhi,Dwarka,Fashion,Ethnic Kurta,1,3623.7,5.3,3431.64,1806.53,1625.11,47.36,Cash on Delivery,Economy,Returned,Small Business
ORD-1003,C1077,Ananya Verma,2024-02-04,North,Punjab,Chandigarh,Sports & Fitness,Dumbbell Pair,1,33635.11,7.0,31280.65,16686.62,14594.03,46.66,EMI,Express,Delivered,Small Business
ORD-1079,C1052,Rohan Verma,2024-02-05,East,West Bengal,Kolkata,Home & Kitchen,Vacuum Cleaner,3,8905.38,8.6,24418.55,12978.83,11439.72,46.85,Credit Card,Standard,Delivered,Corporate
ORD-1304,C1072,Sunita Jain,2024-02-06,North,Uttar Pradesh,Lucknow,Beauty & Personal Care,Nail Polish Kit,1,486.96,11.6,430.47,236.14,194.33,45.14,Cash on Delivery,Express,Delivered,Corporate
ORD-1054,C1020,Arjun Das,2024-02-08,East,West Bengal,Howrah,Electronics,Gaming Mouse,4,2015.53,2.9,7828.32,6060.58,1767.74,22.58,Net Banking,Same Day,Delivered,Corporate
ORD-1238,C1043,Kavita Mehta,2024-02-09,North,Uttar Pradesh,Agra,Home & Kitchen,Pillow Set,2,16063.24,7.1,29845.5,18180.71,11664.79,39.08,Credit Card,Same Day,Delivered,Corporate
ORD-1109,C1035,Yash Saxena,2024-02-12,West,Goa,Margao,Home & Kitchen,Pressure Cooker,4,17363.3,12.3,60910.46,41139.17,19771.29,32.46,EMI,Economy,Delivered,Consumer
ORD-1171,C1049,Rekha Singh,2024-02-13,East,Jharkhand,Jamshedpur,Fashion,Sneakers,5,4723.37,18.0,19365.82,11037.04,8328.78,43.01,Cash on Delivery,Same Day,Cancelled,Corporate
